District_Name,Transaction_count
Shimla ,135.75
Shivamogga ,847.25
Shivpuri ,126.5
Shopian ,57.25
Shravasti ,39.0
Siang ,2.6666666666666665
Siddharthnagar ,209.75
Siddipet ,398.0
Sidhi ,139.0
Sikar ,850.5
Simdega ,55.5
Sindhudurg ,274.5
Singrauli ,246.0
Sirmaur ,129.5
Sirohi ,256.0
Sirsa ,232.0
Sitamarhi ,344.0
Sitapur ,178.75
Sivaganga ,148.0
Sivasagar ,93.5
Siwan ,452.0
Solan ,347.0
Solapur ,2003.75
Sonbhadra ,395.5
Sonepur ,65.75
Sonipat ,726.25
Sonitpur ,249.25
South ,636.875
South Andaman ,270.75
South East Delhi ,2238.75
South Garo Hills ,2.25
South Goa ,562.5
South Salmara Mancachar ,22.0
South Tripura ,40.75
South Twenty Four Parganas ,1186.5
South West ,1779.5
South West Garo Hills ,3.0
South West Khasi Hills ,1.0
Spsr Nellore ,1748.75
Sri Muktsar Sahib ,68.0
Srikakulam ,902.5
Srinagar ,97.5
Sukma ,37.75
Sultanpur ,247.25
Sundargarh ,446.25
Supaul ,195.5
Surajpur ,98.25
Surat ,3013.25
Surendranagar ,127.75
Surguja ,137.5
Suryapet ,467.25
Tamenglong ,2.6666666666666665
Tapi ,84.25
Tarn Taran ,83.5
Tawang ,11.5
Tehri Garhwal ,91.0
Tengnoupal ,5.0
Tenkasi ,129.5
Thane ,8902.0
Thanjavur ,284.25
The Dangs ,18.25
The Nilgiris ,143.25
Theni ,187.25
Thiruvallur ,2609.5
Thiruvananthapuram ,1359.0
Thiruvarur ,126.25
Thoothukkudi ,243.0
Thoubal ,7.75
Thrissur ,922.0
Tikamgarh ,72.5
Tinsukia ,200.0
Tirap ,9.0
Tiruchirappalli ,517.25
Tirunelveli ,335.75
Tirupathur ,184.0
Tiruppur ,1215.0
Tiruvannamalai ,264.75
Tonk ,258.0
Tuensang ,2.3333333333333335
Tumakuru ,1208.0
Udaipur ,632.5
Udalguri ,79.0
Udham Singh Nagar ,639.25
Udhampur ,80.5
Udupi ,517.25
Ujjain ,499.5
Ukhrul ,5.75
Umaria ,68.0
Una ,118.0
Unakoti ,24.5
Unnao ,262.5
Upper Siang ,3.25
Upper Subansiri ,3.75
Uttar Dinajpur ,294.75
Uttara Kannada ,589.25
Uttarkashi ,45.25
Vadodara ,1158.0
Vaishali ,744.25
Valsad ,716.5
Varanasi ,845.0
Vellore ,386.5
Vidisha ,168.0
Vijayapura ,789.75
Vikarabad ,231.25
Viluppuram ,285.25
Virudhunagar ,268.0
Visakhapatnam ,4220.25
Vizianagaram ,814.0
Wanaparthy ,149.0
Warangal Rural ,320.25
Warangal Urban ,1557.25
Wardha ,313.5
Washim ,227.0
Wayanad ,236.0
West ,1417.75
West Garo Hills ,30.25
West Godavari ,2086.0
West Jaintia Hills ,4.25
West Kameng ,23.5
West Karbi Anglong ,10.75
West Khasi Hills ,4.666666666666667
West Siang ,15.0
West Singhbhum ,127.75
West Tripura ,244.25
Wokha ,2.0
Yadadri Bhuvanagiri ,307.75
Yadgir ,208.0
Yamunanagar ,256.25
Yanam ,15.0
Yavatmal ,567.25
Ysr ,1313.75
Zunheboto ,2.0
