District_Name,Transaction_count
Ranchi ,57934506.0
Rangareddy ,403417361.5
Ranipet ,6788173.75
Ratlam ,17099914.75
Ratnagiri ,5947837.25
Rayagada ,11434145.0
Reasi ,1771366.25
Rewa ,20819647.0
Rewari ,24617725.25
Ribhoi ,930113.5
Rohtak ,12323601.75
Rohtas ,18169329.0
Rudraprayag ,1370698.75
Rupnagar ,2581456.5
Sabar Kantha ,8674667.0
Sagar ,19697376.25
Saharanpur ,26698282.5
Saharsa ,13637313.25
Sahebganj ,5370741.5
Saiha ,41035.5
Salem ,21994907.5
Samastipur ,25213062.25
Samba ,2568195.25
Sambalpur ,16842956.5
Sambhal ,9463772.25
Sangareddy ,80912186.25
Sangli ,33538692.0
Sangrur ,3482428.75
Sant Kabeer Nagar ,6387628.5
Saraikela Kharsawan ,8871449.75
Saran ,25263539.0
Sas Nagar ,22414596.0
Satara ,42983735.0
Satna ,18589238.5
Sawai Madhopur ,18296717.0
Sehore ,20192008.5
Senapati ,55959.75
Seoni ,11448477.75
Sepahijala ,743734.0
Serchhip ,56280.0
Shahdara ,24689308.25
Shahdol ,10497940.75
Shahid Bhagat Singh Nagar ,954031.25
Shahjahanpur ,8296324.75
Shajapur ,11464431.75
Shamli ,9535118.5
Sheikhpura ,2672274.75
Sheohar ,3543557.25
Sheopur ,3816583.75
Shi Yomi ,12972.5
Shimla ,3722537.75
Shivamogga ,34218788.0
Shivpuri ,13407904.25
Shopian ,1040333.0
Shravasti ,1734836.0
Siang ,114478.25
Siddharthnagar ,10456069.0
Siddipet ,29767716.25
Sidhi ,8305561.25
Sikar ,46552674.0
Simdega ,1327884.25
Sindhudurg ,3085313.5
Singrauli ,15803903.25
Sirmaur ,2657611.5
Sirohi ,9423756.0
Sirsa ,7474769.5
Sitamarhi ,17789595.25
Sitapur ,8489405.25
Sivaganga ,4280288.25
Sivasagar ,2037256.25
Siwan ,23400204.75
Solan ,8336733.75
Solapur ,94748838.25
Sonbhadra ,11832113.5
Sonepur ,4436426.5
Sonipat ,19515557.0
Sonitpur ,6600054.75
South ,20864610.75
South Andaman ,2632623.75
South East Delhi ,69968484.5
South Garo Hills ,111399.5
South Goa ,9263229.0
South Salmara Mancachar ,2292042.5
South Tripura ,716125.0
South Twenty Four Parganas ,36543999.75
South West ,39186142.5
South West Garo Hills ,154970.5
South West Khasi Hills ,37469.0
Spsr Nellore ,86242948.75
Sri Muktsar Sahib ,1839649.75
Srikakulam ,49379233.25
Srinagar ,5892944.25
Sukma ,1561454.5
Sultanpur ,9296709.0
Sundargarh ,25533787.75
Supaul ,14857048.25
Surajpur ,5431514.75
Surat ,74341497.25
Surendranagar ,4932098.0
Surguja ,9981173.75
Suryapet ,25928778.25
Tamenglong ,51139.5
Tapi ,3231819.5
Tarn Taran ,2603970.5
Tawang ,377965.0
Tehri Garhwal ,3071517.25
Tengnoupal ,42685.25
Tenkasi ,3576254.0
Thane ,165189039.5
Thanjavur ,6804132.75
The Dangs ,662339.0
The Nilgiris ,4308117.75
Theni ,5529161.0
Thiruvallur ,50455897.5
Thiruvananthapuram ,17642771.75
Thiruvarur ,2478675.0
Thoothukkudi ,6068569.75
Thoubal ,183778.75
Thrissur ,10916712.0
Tikamgarh ,6453801.5
Tinsukia ,4222594.0
Tirap ,221091.5
Tiruchirappalli ,11830415.75
Tirunelveli ,6628215.0
Tirupathur ,9330329.5
Tiruppur ,27993996.75
Tiruvannamalai ,9761071.5
Tonk ,19459830.0
Tuensang ,88875.5
Tumakuru ,56307370.0
Udaipur ,34554165.25
Udalguri ,2240885.5
Udham Singh Nagar ,17731919.0
Udhampur ,2882383.25
Udupi ,16428784.5
Ujjain ,34076787.5
Ukhrul ,47866.75
Umaria ,4281033.25
Una ,2016870.25
Unakoti ,492551.25
Unnao ,7229628.0
Upper Siang ,144308.25
Upper Subansiri ,262337.0
Uttar Dinajpur ,16358221.5
Uttara Kannada ,16819776.25
Uttarkashi ,1166681.25
Vadodara ,30386818.5
Vaishali ,22956964.0
Valsad ,19312518.5
Varanasi ,34676334.0
Vellore ,11953557.25
Vidisha ,12987488.25
Vijayapura ,36957296.25
Vikarabad ,16762729.0
Viluppuram ,6703806.0
Virudhunagar ,6175516.25
Visakhapatnam ,195686672.75
Vizianagaram ,45892559.5
Wanaparthy ,10627451.5
Warangal Rural ,13909723.5
Warangal Urban ,55901591.75
Wardha ,11705765.25
Washim ,11367968.25
Wayanad ,5825881.0
West ,33568060.25
West Garo Hills ,1515777.0
West Godavari ,97353897.25
West Jaintia Hills ,153435.75
West Kameng ,941122.25
West Karbi Anglong ,352412.0
West Khasi Hills ,80201.5
West Siang ,503047.75
West Singhbhum ,4844444.0
West Tripura ,3825481.75
Wokha ,114666.5
Yadadri Bhuvanagiri ,24980361.0
Yadgir ,13431152.75
Yamunanagar ,6031642.75
Yanam ,1113095.5
Yavatmal ,22948482.0
Ysr ,71599797.0
Zunheboto ,54151.0
